Brand,Title,Planet,People,Animals,Overall Rating,Description
Proclaim,Proclaim is an inclusive nude lingerie line made in Los Angeles from recycled plastic water bottles,4 out of 5,5 out of 5,0 out of 5,Good,"Proclaim's environment rating is 'good'. It uses a high proportion of eco-friendly materials including recycled fabrics. It produces long lasting products. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'great'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. It traces most its supply chain including all of the final and second stages of production. It ensures payment of a living wage in its final stage of production. It visits most of its suppliers regularly.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Proclaim is rated 'Good' based on information from our own research.
Last Updated: May 2019"
Noize,"NOIZE offers accessible and stylish outerwear for men and women, developing unique seasonal collections with a focus on high-quality faux fur and vegan leather.",3 out of 5,1 out of 5,5 out of 5,It's a start,"Noize's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including recycled materials. There is no evidence it minimises packaging. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers.
Its animal rating is 'great'. It is listed by PETA as vegan.
Noize is rated 'It's a start' based on information from our own research.
Last Updated: March 2020"
la fille d'O,"la fille d'O is an avant-garde lingerie brand that supports all bodies, whilst empowering individual attitudes without compromises.",4 out of 5,5 out of 5,0 out of 5,Good,"la fille d'O's environment rating is 'good'. Its products are Oeko-Tex Standard 100 certified. it uses a limited production run to minimise textile waste. It does not use eco-friendly materials. It manufactures locally to reduce its carbon footprint.
Its labour rating is 'great'. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. It ensures payment of a living wage in the final stage of production. It traces most of its supply chain. it visits its suppliers regularly.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
la fille d'O is rated 'Good' based on information from our own research.
Last Updated: June 2020"
Colieco,"Colieco is a Portuguese lingerie, underwear and swimwear brand that uses a handmade to order process for creating the most premium pieces.",4 out of 5,4 out of 5,5 out of 5,Good,"Colieco's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including deadstock materials. It manufactures locally to reduce its carbon footprint. It uses low-waste cutting techniques to minimise textile waste.
Its labour rating is 'good'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It ensures payment of a living wage in the final stage of production. There is no evidence it audits any of its supply chain.
Its animal rating is 'great'. It states that its entire product range is vegan.
Colieco is rated 'Good' based on information from our own research.
Last Updated: June 2020"
FELLER,FELLER is a luxury collection of weather proof clothing and accessories for rain or shine.,2 out of 5,2 out of 5,4 out of 5,Not good enough,"FELLER's environment rating is 'not good enough'. It does not use eco-friendly materials. There is no evidence it minimises textile waste. It manufactures locally to reduce its carbon footprint. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA and Canada, medium/low risk counties for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool.
FELLER is rated 'Not good enough' based on information from our own res
Last Updated: March 2020"
Svala,"Svala luxury designer vegan handbags, purses, bags and totes are handcrafted sustainably and ethically in LA with high-quality, premium vegan leather PU, cork and Pinatex.",4 out of 5,4 out of 5,5 out of 5,Good,"Svala's environment rating is 'good'. It uses some eco-friendly materials including organic cotton and recycled materials and it creates high-quality, long-lasting products. It reduces its carbon footprint by manufacturing all products locally. Its use of some eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'good'. Its final stage of production is undertaken in the USA, a medium risk region for labour rights. It does not have an adequate Supplier Code of Conduct but it pays a living wage to all of its final stage of production. It traces suppliers in the final stage of its supply chain and aIl of its final stage of production is either independently audited or visited by the brand.
Its animal rating is 'great'. It uses 100% vegan materials.
Svala is rated 'Good' based on information from our own research.
Last Updated: April 2018"
Make It Good,Make It Good apparel for women is a line of American made basics with artistically hand printed details,4 out of 5,4 out of 5,5 out of 5,Good,"Make It Good's environment rating is 'good'. It creates high-quality, long-lasting products. It uses a proportion of eco-friendly materials including organic cotton and recycled polyester and some non eco-friendly materials including conventional cotton and non-recycled polyester. It is taking steps to use 100% post consumer waste materials in its packaging. It reduces its carbon footprint by manufacturing close to its main retail outlets. It uses low impact and non-toxic dyes in its products. The use of water based inks also helps reduce its wastewater.
Its labour rating is 'good'. Its products are all made in-house by a small team including the owner of the business, but it does not provide enough information on the first and second stages of production.
Its animal rating is 'great'. It does not use any animal products.
Make It Good is rated 'Good' based on information from our own research.
Last Updated: March 2017"
Henri Bendel,Henri Bendel does not use eco-friendly materials or ensure payment of a living wage across its supply chain,2 out of 5,2 out of 5,3 out of 5,Not Good Enough,"Henri Bendel is owned by L Brands.
Its environment rating is 'not good enough'. It does not have adequate policies and initiatives for resource management and disposal. It measures and reports on its direct and indirect emissions, but not for its entire supply chain and it does not use any widely accepted tools to guide measurement and reporting. It has made a public commitment to reduce its direct and indirect carbon emissions but has not yet set a clear time bound carbon reduction target. It has set a deadline for the elimination of hazardous chemicals by 2020 and it complies with a Restricted Substances List. It also has water reduction initiatives but has not set a specific reduction target. It participates in the Carbon Disclosure Project (CDP).
Its labour rating is 'not good enough' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received a good score for its Supplier Code of Conduct included in its supplier contracts. However it traces only one stage of its supply chain, it likely does not publicly list its suppliers and it does not guarantee that subcontracting does not occur in any of its supply chain. It audits only a small portion of its traced facilities over a two-year period and it has minimal worker empowerment initiatives across its supply chain. It has made little to no progress towards paying a living wage across its supply chain.
Its animal rating is 'it's a start'. It uses leather without stating its sources. It does not use wool, down, fur, angora, exotic animal skin or hair.
Henri Bendel is rated 'Not Good Enough' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: August 2017"
GUNAS,"GUNAS create ethically sourced, vegan leather handbags to suit your every lifestyle need",2 out of 5,4 out of 5,5 out of 5,Good,"GUNAS's environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. There is no evidence it minimises packaging. It makes products by hand to reduce its climate impact. There is no evidence it minimises textile waste when manufacturing its products.
Its labour rating is 'good'. Its final stage of production is undertaken in South Korea, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It is unclear whether it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits its suppliers regularly.
Its animal rating is 'great'. It is listed by PETA as vegan.
GUNAS is rated 'Good' based on information from our own research.
Last Updated: March 2020"
Santoni,"Handmade shoes and accessories, representing the true excellence of Made in Italy",2 out of 5,2 out of 5,0 out of 5,Not good enough,"Santoni's environment rating is 'not good enough'. There is no evidence it minimises textile waste. It manufactures locally to reduce its carbon footprint. There is no evidence it has taken any meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
ItIts labour rating is 'not good enough'. Its final stage of production is undertaken in Italy, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'it's a start'. It does not use fur, exotic animal skin, down, angora or exotic animal hair. It uses leather and wool.
Santoni is rated 'Not good enough' based on information from our own research.
Last Updated: June 2019"
Allbirds,Allbirds is a San Francisco-based startup aimed at designing environmentally friendly footwear.,4 out of 5,2 out of 5,4 out of 5,Good,"Allbirds' environment rating is 'good'. It uses a medium proportion of eco-friendly materials including Tencel. It implements initiatives to reduce greenhouse gas emissions from its manufacturing. It implements initiatives to reduce water use throughout its supply chain. Its use of eco-friendly materials limits the amount of chemicals and wastewater used in production.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain.
Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool certified by the ZQ Merino label.
Allbirds is rated 'Good' based on information from our own research.
Last Updated: December 2019"
Nisolo,Nisolo is an American brand that prioritizes living wages throughout its supply chains while also working to combat climate change.,3 out of 5,5 out of 5,3 out of 5,Good,"Nisolo's environment rating is 'it's a start'. It uses some eco-friendly materials including recycled materials. There is no evidence it minimises textile waste when manufacturing its products. It uses chrome-free dyes in the leather tanning process There is no evidence it minimises packaging
Its labour rating is 'great'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It monitors health and safety issues with an internal procedure. It ensures payment of a living wage in the final stage of production. It traces most of its supply chain.
Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, wool, exotic animal hair or angora. It uses leather.
Nisolo is rated 'Good' based on information from our own research.
Last Updated: June 2020"
Saye,"Saye is a footwear label that creates ecological sneakers using organic and recycled matierals, restoring forests and empowering local communities.",4 out of 5,4 out of 5,3 out of 5,Good,"Saye's environment rating is 'good'. Its tanneries are audited by Leather Working Group. It uses a medium proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) certified organic cotton cotton. It manufactures locally to reduce its carbon footprint. There is no evidence it implements water reduction initiatives.
Its labour rating is 'good'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. It traces most of its supply chain. it is unclear whether it ensures payment of a living wage in its supply chain. It visits its suppliers regularly.
Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It uses leather.
Saye is rated 'Good' based on information from our own research.
Last Updated: June 2020"
nativ basics,nativ basics is an eco-friendly underwear label designed for the everday woman.,4 out of 5,3 out of 5,0 out of 5,Good,"nativ basics's environment rating is 'good'. It uses a high proportion of eco-friendly materials including Tencel. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It audits the final stage of production but does not state how often.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
nativ basics is rated 'Good' overall.
Last Updated: September 2020"
Parade,"Parade is an American underwear brand that is working to re-write the American underwear story so you are left feeling soft, breathable and good for your body and the environment.",4 out of 5,3 out of 5,0 out of 5,Good,"Parade's environment rating is 'good'. It uses a high proportion of eco-friendly materials including recycled materials. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. Its factory is audited and reported through Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance. It sources its final stage of production from countries with extreme risk of labour abuse . There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It audits its final stage of production but does not state how often.
This brand makes products that are generally free of animal materials except for silk so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
Parade is rated 'Good' overall.
Last Updated: September 2020"
Save the Duck,Save the Duck is not taking adequate steps to manage its greenhouse gas emissions.,2 out of 5,2 out of 5,5 out of 5,Not good enough,"Save the Duck is owned by FOREST Srl of Alchimia Holding.
Its environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. There is no evidence it implements water reduction initiatives. There is no evidence it minimises packaging. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions in its supply chain.
Its labour rating is 'not good enough'. It has a Code of Conduct that covers all the Business Social Compliance Initiative Code of Conduct - BSCI principles. There is no evidence it has worker empowerment initiatives such as collective bargaining or rights to make a complaint. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain.
Its animal rating is 'great'. It states that its entire product range is vegan.
Save the Duck is rated 'Not good enough' based on information from our own research.
Last Updated: November 2019"
Liska,Liska is one of Austria's oldest fur houses.,2 out of 5,3 out of 5,2 out of 5,Not good enough,"Liska's environment rating is 'not good enough'. There is no evidence it minimises packaging. Its products are made to order to minimise textile waste. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'it's a start'. Its final stage of production is undertaken in Austria, a low risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits its suppliers regularly.
Its animal rating is 'not good enough'. It uses fur, leather, wool and exotic animal hair. It does not use down, exotic animal skin or angora.
Liska is rated 'Not good enough' based on information from our own research.
Last Updated: December 2019"
WAMA,WAMA is pioneering the Hemp Clothing industry with Premium Hemp Underwear.,4 out of 5,3 out of 5,0 out of 5,Good,"WAMA's environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton and hemp. There is no evidence it minimises textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain including all of the final stage of production. It ensures payment of a living wage in some of its supply chain. It visits its suppliers regularly.
This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only.
WAMA is rated 'Good' based on information from our own research.
Last Updated: January 2020"
Cara Mila,"Cara Mila handcrafts a moden take on the tradtional artistry of fur with natural dyes and responsibly sourced furs and accessories, celebrated through innovative designs",2 out of 5,2 out of 5,2 out of 5,Not good enough,"Cara Mila's environment rating is 'not good enough'. It does not use eco-friendly materials. There is no evidence it minimises textile waste. It uses low impact non-toxic dyes in some of its products. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in Italy, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'not good enough'. It uses fur, leather, wool and down. It does not use exotic animal skin or angora.
Cara Mila is rated 'Not good enough' based on information from our own research.
Last Updated: March 2020"
Coclico,Clean lines and a neutral palette are the cornerstones of these sustainably made shoes.,3 out of 5,4 out of 5,3 out of 5,Good,"Coclico's environment rating is 'it's a start'. It uses some eco-friendly materials including recycled materials. There is no evidence it minimises packaging. It makes products by hand to reduce its climate impact. There is no evidence it implements water reduction initiatives. It uses low impact non-toxic dyes in most of its products.
Its labour rating is 'good'. Its final stage of production is undertaken in Spain, a medium risk country for labour abuse. It traces most of its supply chain including all of the final stage of production. It ensures payment of a living wage in the final stage of production.
Its animal rating is 'it's a start'. It uses leather and fish leather. It does not use fur, down, exotic animal skin, exotic animal hair or angora.
Coclico is rated 'Good' based on information from our own research.
Last Updated: September 2019"
Serpui,Serpui is a Brazilian brand that creates handbags as works of art.,2 out of 5,2 out of 5,3 out of 5,Not good enough,"Serpui's environment rating is 'not good enough'. There is no evidence it minimises textile waste. It makes products by hand to reduce its climate impact. There is no evidence it has taken any meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. It sources its final stage of production from countries with high risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain including all of the final stage of production.
Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It uses leather.
Serpui is rated 'Not good enough' based on information from our own research.
Last Updated: April 2020"
STUDIO PIA,"Studio Pia, luxury lingerie with a conscience. Designed by Pia Conaghan, and ethically crafted in the UK & Europe.",2 out of 5,2 out of 5,5 out of 5,It's a start,"STUDIO PIA's environment rating is 'not good enough'. It uses some eco-friendly materials including deadstock materials. There is no evidence it has taken any meaningful action to reduce or eliminate hazardous chemicals. It manufactures locally to reduce its carbon footprint. There is no evidence it implements water reduction initiatives.
Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'great'. It does not use fur, leather, wool, down, exotic animal skin, exotic animal hair or angora. It uses peace silk.
STUDIO PIA is rated 'It's a start' based on information from our own research.
Last Updated: July 2019"
Humphrey Law,High quality wholly-Australian made socks,2 out of 5,4 out of 5,3 out of 5,It's a start,"Humphrey Law's environment rating is 'not good enough'. There is no evidence it uses eco-friendly materials. There is no evidence it avoids hazardous chemicals in its supply chain. It reduces its climate impact by consuming renewable energy in its supply chain. There is no evidence it implements water reduction initiatives.
Its labour rating is 'good'. Its final stage of production is certified by Ethical Clothing Australia. It traces all of its supply chain. Most of its supply chain is independently audited or visited by the brand.
Its animal rating is 'it's a start'. It does not use fur, leather, down, exotic animal skin or angora. However it uses wool and exotic animal hair.
Humphrey Law is rated 'It's a start' based on information from our own research.
Last Updated: September 2018"
Rombaut,Vegan footwear characterised by opulent materials and a subdued palette,2 out of 5,2 out of 5,5 out of 5,It's a start,"Rombaut's environment rating is 'not good enough'. There is no evidence it minimises packaging. It manufactures locally to reduce its carbon footprint. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives.
Its labour rating is 'not good enough'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain.
Its animal rating is 'great'. It states that its entire product range is vegan
Rombaut is rated 'It's a start' based on information from our own research.
Last Updated: February 2019"
Bestform,Bestform has some good labour policies but does not set clear targets for reducing carbon emissions or water usage,3 out of 5,3 out of 5,0 out of 5,It's a start,"Bestform is owned by Fruit of the Loom Inc.
Its environment rating is 'it's a start'. It does not use eco-friendly materials, however it is taking steps to minimise waste and the use of packaging. It uses ISO 14064 and GHG Protocol to guide measurement and reporting on its carbon emissions but has not yet set a clear time bound carbon reduction target. It is certified by Oeko-Tex Standard 100. It has water reduction initiatives but has not set any specific reduction targets.
Its labour rating is 'it's a start' based on the 2017 Ethical Fashion Report which looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It publicly lists some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It only audits some of its traced facilities over a two-year period across parts of its supply chain and it has very few worker empowerment initiatives. It has made little to no progress towards ensuring payment of a living wage across its supply chain.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labour scores only.
Bestform is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: June 2017"
Vassarette,Vassarette has some good labour policies but does not set clear targets for reducing carbon emissions or water usage,3 out of 5,3 out of 5,0 out of 5,It's a start,"Vassarette is owned by Fruit of the Loom Inc.
Its environment rating is 'it's a start'. It does not use eco-friendly materials, however it is taking steps to minimise waste and the use of packaging. It uses ISO 14064 and GHG Protocol to guide measurement and reporting on its carbon emissions but has not yet set a clear time bound carbon reduction target. It is certified by Oeko-Tex Standard 100. It has water reduction initiatives but has not set any specific reduction targets.
Its labour rating is 'it's a start' based on the 2017 Ethical Fashion Report which looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It publicly lists some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It only audits some of its traced facilities over a two-year period across parts of its supply chain and it has very few worker empowerment initiatives. It has made little to no progress towards ensuring payment of a living wage across its supply chain.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labour scores only.
Vassarette is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: June 2017"
Lily of France,Lily of France has some good labour policies but does not set clear targets for reducing carbon emissions or water usage,3 out of 5,3 out of 5,0 out of 5,It's a start,"Lily of France is owned by Fruit of the Loom Inc.
Its environment rating is 'it's a start'. It does not use eco-friendly materials, however it is taking steps to minimise waste and the use of packaging. It uses ISO 14064 and GHG Protocol to guide measurement and reporting on its carbon emissions but has not yet set a clear time bound carbon reduction target. It is certified by Oeko-Tex Standard 100. It has water reduction initiatives but has not set any specific reduction targets.
Its labour rating is 'it's a start' based on the 2017 Ethical Fashion Report which looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces most of its supply chain including all of its final stage, most of its inputs and some or none of its raw material stages. It publicly lists some of its suppliers and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It only audits some of its traced facilities over a two-year period across parts of its supply chain and it has very few worker empowerment initiatives. It has made little to no progress towards ensuring payment of a living wage across its supply chain.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labour scores only.
Lily of France is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: June 2017"
VEERAH,"Mission-driven designer shoes and accessories. Vegan, innovative, sustainable and gorgeous.",2 out of 5,2 out of 5,5 out of 5,It's a start,"VEERAH's environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken any meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements wastewater management initiatives.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain including all of the final stage of production.
Its animal rating is 'great'. It is listed by PETA as vegan.
VEERAH is rated 'It's a start' based on information from our own research.
Last Updated: June 2019"
Holeproof,Holeproof has some strong labour policies but does not communicate sufficient information about its environmental policies,2 out of 5,4 out of 5,4 out of 5,It's a start,"Holeproof is owned by Pacific Brands.
Its environmental rating is 'not good enough'. There is insufficient relevant information on environmental sustainability to give this brand an appropriate environmental rating. Customers have a right to know how the products they buy impact on the environment.
Its labour rating is 'good' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces all or almost all of its supply chain including final stage, inputs and raw materials. It publicly lists all or a portion of its suppliers along with their addresses and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits most of its traced facilities over a two-year period across its entire supply chain. It has very few worker empowerment initiatives, but is making progress towards paying a living wage across some of its supply chain. It has signed the Bangladesh Building and Fire Safety Accord, is a member of the Ethical Trading Initiative - ETI and has pledged to not knowingly source Uzbek cotton for the manufacturing of any of its products.
Its animal rating is 'good'. It does not use fur, angora or leather but uses wool without specifying sources.
Holeproof is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: May 2017"
Nearly Nude,Nearly Nude has taken steps to address environmental issues and does not use any animal products,3 out of 5,2 out of 5,0 out of 5,It's a start,"Nearly Nude is owned by Delta Galil Industries.
Its environment rating is 'it's a start'. It is taking steps to implement a strategy to reduce waste in the manufacturing part of its supply chain. However it does not use eco-friendly materials. It uses the GHG Protocol to guide measurement and reporting on its carbon emissions and it has made a public commitment to reduce its direct and indirect carbon emissions per product by 5% by 2016. The majority of its products are Oeko-Tex Standard 100 certified. It implements water reduction initiatives and publicly reports on targets however this only covers in-house manufacturing.
Its labor rating is 'not good enough'. It has a supplier Code of Conduct based on the FLA Workplace Code of Conduct. However it sources from countries with high or extreme risk of labor abuse. It mentions paying a living wage and supplies an adequate definition but it does not assure payment of a living wage. It traces suppliers in its supply chain but it is unclear as to what extent. As of 2014, it claimed to have audited 80% of its manufacturing suppliers for human rights screening but it does not appear to use unannounced audits.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labor scores only.
Nearly Nude is rated 'It's a start' based on information from our own research.
Last Updated: March 2017"
Explorer,Explorer has good labour policies but does not communicate sufficient information about its environmental policies,2 out of 5,4 out of 5,3 out of 5,It's a start,"Explorer is owned by Pacific Brands.
Its environmental rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'good' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces all or almost all of its supply chain including final stage, inputs and raw materials. It publicly lists all or a portion of its suppliers along with their addresses and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits most of its traced facilities over a two-year period across its entire supply chain. It has very few worker empowerment initiatives, but is making progress towards paying a living wage across some of its supply chain. It has signed the Bangladesh Building and Fire Safety Accord, is a member of the Ethical Trading Initiative - ETI and has pledged to not knowingly source Uzbek cotton for the manufacturing of any of its products.
Its animal rating is 'it's a start'. It does not use fur, angora or leather but uses wool without specifying sources.
Explorer is rated 'It's a start' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: May 2017"
Tropic Feel,Tropic Feel is a Spanish brand curating its collections with the intention of exploration.,3 out of 5,2 out of 5,5 out of 5,It's a start,"Tropic Feel's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including recycled materials. There is no evidence it minimises the use of solvent-based chemicals in its shoe production. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production.
Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. It does not disclose where its final stage of production occurs. There is no evidence it ensures payment of a living wage in its supply chain. It audits some of its supply chain but does not state what percentage.
Its animal rating is 'great'. It states that its entire product range is vegan.
Tropic Feel is rated 'It's a start' based on information from our own research.
Last Updated: June 2020"
Rio,Rio has good labour policies but does not communicate sufficient information about its environmental policies,2 out of 5,4 out of 5,0 out of 5,Not Good Enough,"Rio is owned by Pacific Brands.
Its environmental rating is 'not good enough'. It does not publish sufficient relevant information about its environmental policies to give a higher rating. As a shopper you have the right to know how its production practices impact on the environment.
Its labour rating is 'good' based on the 2017 Ethical Fashion Report. This looks at criteria including payment of a living wage, transparency and worker empowerment. It received the top score for its Supplier Code of Conduct included in its supplier contracts. It traces all or almost all of its supply chain including final stage, inputs and raw materials. It publicly lists all or a portion of its suppliers along with their addresses and it ensures that no subcontracting occurs or that all subcontracted production adheres to code standards. It audits most of its traced facilities over a two-year period across its entire supply chain. It has very few worker empowerment initiatives, but is making progress towards paying a living wage across some of its supply chain. It has signed the Bangladesh Building and Fire Safety Accord, is a member of the Ethical Trading Initiative - ETI and has pledged to not knowingly source Uzbek cotton for the manufacturing of any of its products.
This brand does not use any animal derived materials. Since the brand makes products that are generally free of animal materials, we haven't awarded points. The total score is calculated from environment and labour scores only.
Rio is rated 'Not Good Enough' based on information from the 2017 Ethical Fashion Report and our own research.
Last Updated: May 2017"
